log_id,asset_id,date,type,description,technician,duration_hours,parts_replaced,cost_eur
MX-00035,WT-011,2024-01-03,scheduled,"Scheduled semi-annual inspection and service. Checked blade pitch, lubrication, electrical connections.",María Sánchez,10.2,Anemometer sensor,1101.44
MX-00065,WT-019,2024-01-06,corrective,"Corrective maintenance following fault E-5001: Transformer oil temperature warning — 85°C threshold reached. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Laura Martínez,7.8,Rotor blade bolt kit,6161.96
MX-00181,PV-019,2024-01-09,scheduled,"Scheduled inspection. Cleaned panels, checked inverter, verified string connections and mounting integrity.",Isabel Moreno,11.1,Control board,4088.34
MX-00046,WT-014,2024-01-10,scheduled,"Scheduled semi-annual inspection and service. Checked blade pitch, lubrication, electrical connections.",Alejandro Ruiz,7.4,Anemometer sensor,1401.44
MX-00003,WT-001,2024-01-11,corrective,"Corrective maintenance following fault E-5001: Transformer oil temperature warning — 85°C threshold reached. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Carlos Fernández,8.3,Grid fuse set,7654.53
MX-00060,WT-018,2024-01-11,scheduled,"Scheduled quarterly inspection and service. Checked blade pitch, lubrication, electrical connections.",Carlos Fernández,6.2,Yaw motor,4113.5
MX-00178,PV-018,2024-01-11,scheduled,"Scheduled inspection. Cleaned panels, checked inverter, verified string connections and mounting integrity.",Pablo López,5.1,Anemometer sensor,2931.35
MX-00062,WT-019,2024-01-12,scheduled,"Scheduled semi-annual inspection and service. Checked blade pitch, lubrication, electrical connections.",Isabel Moreno,6.5,Inverter IGBT module,3493.55
MX-00016,WT-005,2024-01-15,scheduled,"Scheduled quarterly inspection and service. Checked blade pitch, lubrication, electrical connections.",Javier Rodríguez,7.8,Anemometer sensor,4538.04
MX-00033,WT-010,2024-01-15,scheduled,"Scheduled quarterly inspection and service. Checked blade pitch, lubrication, electrical connections.",Pablo López,7.2,Anemometer sensor,911.88
MX-00144,PV-009,2024-01-16,corrective,"Corrective maintenance following fault E-3001: Inverter overtemperature — ambient+module delta T exceeded. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Javier Rodríguez,12.9,Gearbox oil filter,1769.22
MX-00129,PV-005,2024-01-17,scheduled,"Scheduled inspection. Cleaned panels, checked inverter, verified string connections and mounting integrity.",Carlos Fernández,5.1,Anemometer sensor,4402.69
MX-00176,PV-017,2024-01-18,corrective,"Corrective maintenance following fault E-2001: SCADA communication timeout — data gap logged. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Isabel Moreno,8.5,Hydraulic pump seal,8343.98
MX-00130,PV-005,2024-01-19,corrective,"Corrective maintenance following fault E-5001: Transformer oil temperature warning — 85°C threshold reached. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Isabel Moreno,10.0,Cable harness,8484.32
MX-00172,PV-016,2024-01-19,corrective,"Corrective maintenance following fault E-3003: Grid frequency out of tolerance — automatic disconnect triggered. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Laura Martínez,6.3,Anemometer sensor,9741.2
MX-00006,WT-002,2024-01-20,scheduled,"Scheduled quarterly inspection and service. Checked blade pitch, lubrication, electrical connections.",Elena Torres,8.4,Generator coupling,4843.93
MX-00077,WT-022,2024-01-20,scheduled,"Scheduled semi-annual inspection and service. Checked blade pitch, lubrication, electrical connections.",Diego González,11.4,Hydraulic pump seal,4916.38
MX-00116,PV-002,2024-01-20,corrective,"Corrective maintenance following fault E-3002: String underperformance — DC current 20% below expected. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",María Sánchez,12.1,Hydraulic pump seal,13584.06
MX-00158,PV-013,2024-01-20,scheduled,"Scheduled inspection. Cleaned panels, checked inverter, verified string connections and mounting integrity.",Alejandro Ruiz,5.4,Control board,3481.56
MX-00180,PV-018,2024-01-20,corrective,"Corrective maintenance following fault E-2001: SCADA communication timeout — data gap logged. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Isabel Moreno,8.0,Inverter IGBT module,10911.33
MX-00027,WT-008,2024-01-22,scheduled,"Scheduled quarterly inspection and service. Checked blade pitch, lubrication, electrical connections.",Diego González,9.9,Pitch bearing grease,1638.74
MX-00094,WT-026,2024-01-24,scheduled,"Scheduled quarterly inspection and service. Checked blade pitch, lubrication, electrical connections.",Diego González,9.7,Hydraulic pump seal,1993.06
MX-00171,PV-016,2024-01-25,scheduled,"Scheduled inspection. Cleaned panels, checked inverter, verified string connections and mounting integrity.",Carlos Fernández,8.3,Gearbox oil filter,3108.31
MX-00127,PV-005,2024-01-27,scheduled,"Scheduled inspection. Cleaned panels, checked inverter, verified string connections and mounting integrity.",Ana García,7.4,Generator coupling,3750.5
MX-00139,PV-008,2024-01-27,scheduled,"Scheduled inspection. Cleaned panels, checked inverter, verified string connections and mounting integrity.",Diego González,6.7,Control board,3766.88
MX-00045,WT-013,2024-01-28,corrective,"Corrective maintenance following fault E-2001: SCADA communication timeout — data gap logged. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",María Sánchez,7.6,Pitch bearing grease,10988.67
MX-00066,WT-019,2024-01-28,corrective,"Corrective maintenance following fault E-5002: Main circuit breaker trip — overvoltage protection activated. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Javier Rodríguez,13.5,Hydraulic pump seal,10173.91
MX-00089,WT-025,2024-01-28,scheduled,"Scheduled semi-annual inspection and service. Checked blade pitch, lubrication, electrical connections.",Pablo López,7.0,Hydraulic pump seal,2285.48
MX-00165,PV-014,2024-02-01,corrective,"Corrective maintenance following fault E-2001: SCADA communication timeout — data gap logged. Diagnosed root cause, replaced components as needed, verified normal operation post-repair.",Carlos Fernández,11.8,Rotor blade bolt kit,6741.71
MX-00185,PV-020,2024-02-01,scheduled,"Scheduled inspection. Cleaned panels, checked inverter, verified string connections and mounting integrity.",Isabel Moreno,6.9,Brake pad set,4770.9
MX-00023,WT-007,2024-02-05,scheduled,"Scheduled semi-annual inspection and service. Checked blade pitch, lubrication, electrical connections.",Pablo López,11.6,Generator coupling,1102.06
